fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",AMBULANCE EVACUATION SERVICES,Man age mentof all transfers / evacuation sthro ugha National Ambulance Call Centre,itemized,Evacuation from the pointof the incident to the nearest facility with an & center and the transfer of patients requiring emergency and further clinical care from the facility.,,,4.0,,"Access ible by all Kenyans; Pro cure mentof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region.","➢ PPM: Fee - for- service- fixed rate- 25 kmradius-upto KES 4, 500 ( Intra-metro ). ➢ Acost per kmta riff for services beyond 25 km, KES 75 per km ( Extra-metro )","➢ Access ible by all Kenyans ➢ Pro cure mentof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region."
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,This cover includes resuscitation and stabilization due to:,,,5015.0,Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya.,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,Cardiac and pulmonary arrest,Cardiac and pulmonary arrest –,5015.0,5015.0,,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,"Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )","Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )–",13.0,5015.0,,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,"Shock states ( Haemorrhagic, septic, dehydration )",,,5015.0,,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,"Alteredlevelof consciousness ( unconsciousness, confusion ) Severe respiratory distress",,,5015.0,,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2 - 6,itemized,Seizures,,,5015.0,,Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members.; The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢ PPM: Fee for service up to indicated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for management. ➢ Major trauma ( severe burns, head injuries, severe wounds, multiple fractures )– KES 13, 614 for investigations and KES 79, 549 for management.",➢ Resuscitation and stabilization to be accessed from level 2 - 6 byall residents in Kenya. ➢ Care for upto ama ximumof 24 hours after which the SHIFis activated for paid up members. ➢ The amounts provided are the maximum reimburs able tariffs. The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"➢ Shock states ( Haemorrhagic, septic, dehydration ) - KES 7, 637 for investigations and KES 67, 272 for management. ➢ Alteredlevelof consciousness ( unconsciousness, confusion )- KES 12, 656 for investigations and KES 8, 000 for management. ➢ Severe respiratory distress - KES 6, 315 for investigations and KES 8, 000 for management. ➢ Seizures - KES 12, 156 for investigations and KES 8, 950 for management. ➢ Chest pain ( Acute Coronary Syndrome / Pulmonary embolism )- KES 11, 233 for investigations and KES 41, 400 for management. ➢ Acute Cerebrovascular Accidents ( Strokes ) - KES 11, 033 for investigations andKES 95, 200 for management. ➢ Anti Snake Venom – Up to KES 6, 600 for first dose",block,Chest pain ( Acute Coronary Syndrome / Pulmonary embolism ) Acute Cerebrovascular Accidents ( Strokes ); Anti Snake Venom & Anti Rabies,,,,,,,
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,,block,,,,3.0,,,"➢ Anti Rabies – Up to KES 3, 800 for the first dose",
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",CRITICAL ILLNESS PACKAGE,Level 4 - 6,itemized,"This will cater for Criti calc are admission sinIn ten siveC are Unit ( ICU ), High Dependency Unit ( HDU ), - include NICU, PICU, Burns Unit",,,35.0,,ICU up to 14 days; HDU up to 10 days; Co-payment for amounts above daily per diem rate,"ICU – KES 35, 000 HDU – KES 10, 000 PPM: Per diem rate",➢ ICU up to 14 days ➢ HDU up to 10 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4 - 6,itemized,"This benefit aims at enhancing the quality of life for patients with serious chronic or life - threa ten ing illnesses which includes symptom management, psycho social support, care giver support and end - of- life care. CHRONIC ILLNESSES",,,5.0,,Up to 60 days; Co-payment for amounts above daily per diem rate,"KES. 5, 000 PPM: Per diem rate",➢ Up to 60 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4 - 6,block,"Long itudinal man age mentof chronic conditions and diseases beyond the SHIF limit for diabetes mel litus and its complications, hypertension, cardiovascular conditions, asthma, COPD, sickle cell disease, dialysis, pre- transplant evaluation, immunosuppressive therapy post renal transplant,; Management of cancers beyond the SHIF limit; Man age mentof mental, neuro develop mental, affective, psycho act ive disorders and substance addictive disorders and other mental health conditions; Selected special ized surgeries ASSISTIVE DEVICES",,,,,Must be paid up SHIF member.,Same tariff and PPM sapp lied under SHIF,➢ Must be paid up SHIF member.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4 - 6,itemized,Provision of assistive devices to support patients with per man ent physical and / or sensory disabilities and progressive chronic conditions such as Parkinson ’ Disease and multiple sclerosis.,,,55.0,Medical devices will only be issued to persons with per man ent disability recognized by the National Council for Persons with Disability,"One device per household per year, except for the rape utic footwear, which has limit of two per household per year.; Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per life time.; Devices required due to temporary inability or immobility will be factored in the surgical package.","➢ Hearing aids – KES. 55, 000 ➢ Crutches – KES. 900 ➢ Club foot brace – KES. 1, 000 ➢ Walking frames – KES. 500 ➢ The rape utic footwear – KES. 1, 000","➢ Medical devices will only be issued to persons with per man ent disability recognized by the National Council for Persons with Disability ➢ One device per household per year, except for the rape utic footwear, which has limit of two per household per year. ➢ Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per life time. ➢ Devices required due to temporary inability or immobility will be factored in the surgical package."
