fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,Cardiac and pulmonary arrest,Cardiacandpulmonary arrest–,5015.0,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,"Major trauma (severe burns, head injuries, severe wounds, multiple fractures)","Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–",13.0,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,"Shockstates(Haemorrhagic, septic, dehydration)",,,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,"Alteredlevelofconsciousness (unconsciousness, confusion) Severe respiratory distress",,,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,Level 2-6,itemized,Seizures,,,5015.0,,Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya.; Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members.; Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.,"➢PPM: Fee for service up to indicated limits. ➢Cardiacandpulmonary arrest–KES5015for investigationsandKES 97, 900 for management. ➢Majortrauma(severe burns, head injuries, severe wounds, multiple fractures)–KES13, 614 for investigations and KES 79, 549 for management.",➢Resuscitation and stabilization to be accessedfromlevel2-6byall residents in Kenya. ➢Careforuptoamaximumof24 hoursafterwhichtheSHIFis activated for paid up members. ➢Theamountsprovidedarethe maximumreimbursabletariffs.The Authority shall reimburse the hospital bill amount to the maximum tariffs provided.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,"➢Shockstates (Haemorrhagic, septic, dehydration) - KES 7, 637 for investigations and KES 67, 272 for management. ➢Alteredlevelof consciousness (unconsciousness, confusion)-KES12, 656 for investigations and KES 8, 000 for management. ➢Severe respiratory distress - KES6, 315for investigationsandKES 8, 000 for management. ➢Seizures - KES 12, 156 for investigationsandKES 8, 950 for management. ➢Chestpain(Acute CoronarySyndrome/ Pulmonaryembolism)- KES11, 233for investigationsandKES 41, 400 for management. ➢AcuteCerebrovascular Accidents (Strokes) - KES 11, 033forinvestigations andKES95, 200for management. ➢Anti Snake Venom – Up to KES 6, 600 for first dose",block,Chestpain(AcuteCoronary Syndrome/ Pulmonary embolism) Acute Cerebrovascular Accidents (Strokes); Anti Snake Venom & Anti Rabies,,,,,,,
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",ACCIDENT & EMERGENCY SERVICES,,block,,,,3.0,,,"➢Anti Rabies – Up to KES 3, 800 for the first dose",
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",CRITICAL ILLNESS PACKAGE,Level 4-6,itemized,"ThiswillcaterforCriticalcare admissionsinIntensiveCareUnit (ICU), High Dependency Unit (HDU), -include NICU, PICU, Burns Unit",ICU –,35.0,35.0,,ICU up to 14 days; HDU up to 10 days; Co-payment for amounts above daily per diem rate,"ICU – KES 35, 000 HDU – KES 10, 000 PPM: Per diem rate",➢ ICU up to 14 days ➢ HDU up to 10 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4-6,itemized,"This benefit aims at enhancing the quality of life for patients with serious chronic or life-threatening illnesses which includes symptom management, psychosocial support, caregiver support and end-of-life care. CHRONIC ILLNESSES",,,5.0,,Up to 60 days; Co-payment for amounts above daily per diem rate,"KES. 5, 000 PPM: Per diem rate",➢ Up to 60 days ➢ Co-payment for amounts above daily per diem rate
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4-6,block,"Longitudinalmanagementof chronicconditionsanddiseases beyond the SHIF limit for diabetes mellitusanditscomplications, hypertension, cardiovascular conditions, asthma, COPD, sickle cell disease, dialysis, pre-transplant evaluation, immunosuppressive therapy post renal transplant,; Management of cancers beyond the SHIF limit; Managementofmental, neurodevelopmental, affective, psychoactivedisordersand substanceaddictivedisordersand other mental health conditions; Selected specialized surgeries ASSISTIVE DEVICES",,,,,Must be a paid up SHIF member.,SametariffandPPMsapplied under SHIF,➢ Must be a paid up SHIF member.
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",PALLIATIVE CARE SERVICES,Level 4-6,itemized,Provision of assistive devices to support patients with permanent physical and / or sensory disabilities and progressive chronic conditions such as Parkinson’s Disease and multiple sclerosis.,,,55.0,,"Medical devices will only be issued to persons with permanent disability recognized by the National Council for Persons with Disability; One device per household per year, except for therapeutic footwear, which has a limit of two per household per year.; Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per lifetime.; Devices required due to temporary inability or immobility will be factored in the surgical package.","➢ Hearing aids – KES. 55, 000 ➢ Crutches – KES. 900 ➢ Clubfoot brace – KES. 1, 000 ➢ Walking frames – KES. 500 ➢ Therapeutic footwear – KES. 1, 000","➢ Medical devices will only be issued to persons with permanent disability recognized by the National Council for Persons with Disability ➢ One device per household per year, except for therapeutic footwear, which has a limit of two per household per year. ➢ Hearing Aids are limited to individuals aged 18 years and below and will only be issued once per lifetime. ➢ Devices required due to temporary inability or immobility will be factored in the surgical package."
