service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
"359 Neurosurgery Surgical Toilet for scalp tumour under GA 67,200",359 neurosurgery surgical toilet for scalp tumour under ga 67 200,SURGERY,,,included,,[],,,{},36,"359 Neurosurgery Surgical Toilet for scalp tumour under GA 67,200","359 Neurosurgery Surgical Toilet for scalp tumour under GA 67,200",enhanced_text,LOW,False
"360 Neurosurgery Ventriculoperitoneal (VP) shunting 210,000",360 neurosurgery ventriculoperitoneal vp shunting 210 000,DIALYSIS,,,included,,[],,,{},36,"360 Neurosurgery Ventriculoperitoneal (VP) shunting 210,000","360 Neurosurgery Ventriculoperitoneal (VP) shunting 210,000",enhanced_text,LOW,False
"361 Neurosurgery VP shunting 100,800",361 neurosurgery vp shunting 100 800,SURGERY,,,included,,[],,,{},36,"361 Neurosurgery VP shunting 100,800","361 Neurosurgery VP shunting 100,800",enhanced_text,LOW,False
"366 Obs & Gyn Cornual Wedge resection for Interstitial Ectopic Pregnancy 134,400",366 obs gyn cornual wedge resection for interstitial ectopic pregnancy 134 400,OTHER,,,included,,[],,,{},36,"366 Obs & Gyn Cornual Wedge resection for Interstitial Ectopic Pregnancy 134,400","366 Obs & Gyn Cornual Wedge resection for Interstitial Ectopic Pregnancy 134,400",enhanced_text,LOW,False
"368 Obs & Gyn Diagnostic / Dye Laparoscopy 22,400",368 obs gyn diagnostic dye laparoscopy 22 400,OTHER,,,included,,[],,,{},36,"368 Obs & Gyn Diagnostic / Dye Laparoscopy 22,400","368 Obs & Gyn Diagnostic / Dye Laparoscopy 22,400",enhanced_text,LOW,False
"370 Obs & Gyn Laparotomy: Endometriosis Surgery 134,400",370 obs gyn laparotomy endometriosis surgery 134 400,SURGERY,,,included,,[],,,{},37,"370 Obs & Gyn Laparotomy: Endometriosis Surgery 134,400","370 Obs & Gyn Laparotomy: Endometriosis Surgery 134,400",enhanced_text,LOW,False
"372 Obs & Gyn Laparotomy: Hysterectomy (Abdominal) 89,600",372 obs gyn laparotomy hysterectomy abdominal 89 600,OTHER,,,included,,[],,,{},37,"372 Obs & Gyn Laparotomy: Hysterectomy (Abdominal) 89,600","372 Obs & Gyn Laparotomy: Hysterectomy (Abdominal) 89,600",enhanced_text,LOW,False
"374 Obs & Gyn Laparotomy: Myomectomy 89,600",374 obs gyn laparotomy myomectomy 89 600,OTHER,,,included,,[],,,{},37,"374 Obs & Gyn Laparotomy: Myomectomy 89,600","374 Obs & Gyn Laparotomy: Myomectomy 89,600",enhanced_text,LOW,False
"375 Obs & Gyn Laparotomy: Ovarian cystectomy 89,600",375 obs gyn laparotomy ovarian cystectomy 89 600,OTHER,,,included,,[],,,{},37,"375 Obs & Gyn Laparotomy: Ovarian cystectomy 89,600","375 Obs & Gyn Laparotomy: Ovarian cystectomy 89,600",enhanced_text,LOW,False
"377 Obs & Gyn Laparotomy: Ruptured ectopic pregnancy 134,400",377 obs gyn laparotomy ruptured ectopic pregnancy 134 400,OTHER,,,included,,[],,,{},37,"377 Obs & Gyn Laparotomy: Ruptured ectopic pregnancy 134,400","377 Obs & Gyn Laparotomy: Ruptured ectopic pregnancy 134,400",enhanced_text,LOW,False
"378 Obs & Gyn Laparotomy: Salpingo – oopherectomy 134,400",378 obs gyn laparotomy salpingo oopherectomy 134 400,OTHER,,,included,,[],,,{},37,"378 Obs & Gyn Laparotomy: Salpingo – oopherectomy 134,400","378 Obs & Gyn Laparotomy: Salpingo – oopherectomy 134,400",enhanced_text,LOW,False
"380 Obs & Gyn Laparotomy: Vaginal Hysterectomy 89,600",380 obs gyn laparotomy vaginal hysterectomy 89 600,OTHER,,,included,,[],,,{},37,"380 Obs & Gyn Laparotomy: Vaginal Hysterectomy 89,600","380 Obs & Gyn Laparotomy: Vaginal Hysterectomy 89,600",enhanced_text,LOW,False
"385 Obs & Gyn Obstetric Examination under GA 33,000",385 obs gyn obstetric examination under ga 33 000,OTHER,,,included,,[],,,{},37,"385 Obs & Gyn Obstetric Examination under GA 33,000","385 Obs & Gyn Obstetric Examination under GA 33,000",enhanced_text,LOW,False
"389 Obs & Gyn Operative Hysteroscopy: Resection of Submucous Fibroid 22,400",389 obs gyn operative hysteroscopy resection of submucous fibroid 22 400,OTHER,,,included,,[],,,{},37,"389 Obs & Gyn Operative Hysteroscopy: Resection of Submucous Fibroid 22,400","389 Obs & Gyn Operative Hysteroscopy: Resection of Submucous Fibroid 22,400",enhanced_text,LOW,False
Obs & Gyn,obs gyn,OTHER,,,included,,[],,,{},37,"385 Obs & Gyn Obstetric Examination under GA 33,000","385 Obs & Gyn Obstetric Examination under GA 33,000",enhanced_table_0_row_15,MEDIUM,
"393 Obs & Gyn Operative Laparoscopy: Ectopic Pregnancy 134,400",393 obs gyn operative laparoscopy ectopic pregnancy 134 400,OTHER,,,included,,[],,,{},38,"393 Obs & Gyn Operative Laparoscopy: Ectopic Pregnancy 134,400","393 Obs & Gyn Operative Laparoscopy: Ectopic Pregnancy 134,400",enhanced_text,LOW,False
"394 Obs & Gyn Operative Laparoscopy: Endometriosis Surgery 134,400",394 obs gyn operative laparoscopy endometriosis surgery 134 400,SURGERY,,,included,,[],,,{},38,"394 Obs & Gyn Operative Laparoscopy: Endometriosis Surgery 134,400","394 Obs & Gyn Operative Laparoscopy: Endometriosis Surgery 134,400",enhanced_text,LOW,False
"395 Obs & Gyn Operative Laparoscopy: Hysterectomy 89,600",395 obs gyn operative laparoscopy hysterectomy 89 600,OTHER,,,included,,[],,,{},38,"395 Obs & Gyn Operative Laparoscopy: Hysterectomy 89,600","395 Obs & Gyn Operative Laparoscopy: Hysterectomy 89,600",enhanced_text,LOW,False
"396 Obs & Gyn Operative Laparoscopy: Myomectomy 89,600",396 obs gyn operative laparoscopy myomectomy 89 600,OTHER,,,included,,[],,,{},38,"396 Obs & Gyn Operative Laparoscopy: Myomectomy 89,600","396 Obs & Gyn Operative Laparoscopy: Myomectomy 89,600",enhanced_text,LOW,False
"397 Obs & Gyn Operative Laparoscopy: Ovarian Cystectomy / Drilling 89,600",397 obs gyn operative laparoscopy ovarian cystectomy drilling 89 600,OTHER,,,included,,[],,,{},38,"397 Obs & Gyn Operative Laparoscopy: Ovarian Cystectomy / Drilling 89,600","397 Obs & Gyn Operative Laparoscopy: Ovarian Cystectomy / Drilling 89,600",enhanced_text,LOW,False
"399 Obs & Gyn Ovarian cancer resection (Pelvic clearance) 246,400",399 obs gyn ovarian cancer resection pelvic clearance 246 400,ONCOLOGY,,,included,,[],,,{},38,"399 Obs & Gyn Ovarian cancer resection (Pelvic clearance) 246,400","399 Obs & Gyn Ovarian cancer resection (Pelvic clearance) 246,400",enhanced_text,LOW,False
"400 Obs & Gyn Radical Vulvectomy 168,000",400 obs gyn radical vulvectomy 168 000,OTHER,,,included,,[],,,{},38,"400 Obs & Gyn Radical Vulvectomy 168,000","400 Obs & Gyn Radical Vulvectomy 168,000",enhanced_text,LOW,False
"402 Obs & Gyn Repair of rectovaginal fistula 89,600",402 obs gyn repair of rectovaginal fistula 89 600,OTHER,,,included,,[],,,{},38,"402 Obs & Gyn Repair of rectovaginal fistula 89,600","402 Obs & Gyn Repair of rectovaginal fistula 89,600",enhanced_text,LOW,False
"403 Obs & Gyn Repair of ruptured uterus/Caesarian Hysterectomy 134,400",403 obs gyn repair of ruptured uterus caesarian hysterectomy 134 400,OTHER,,,included,,[],,,{},38,"403 Obs & Gyn Repair of ruptured uterus/Caesarian Hysterectomy 134,400","403 Obs & Gyn Repair of ruptured uterus/Caesarian Hysterectomy 134,400",enhanced_text,LOW,False
"406 Obs & Gyn Simple Vulvectomy 44,800",406 obs gyn simple vulvectomy 44 800,OTHER,,,included,,[],,,{},38,"406 Obs & Gyn Simple Vulvectomy 44,800","406 Obs & Gyn Simple Vulvectomy 44,800",enhanced_text,LOW,False
"407 Obs & Gyn Wertheim’s Hysterectomy (Oncology only) 246,400",407 obs gyn wertheim s hysterectomy oncology only 246 400,ONCOLOGY,,,included,,[],,,{},38,"407 Obs & Gyn Wertheim’s Hysterectomy (Oncology only) 246,400","407 Obs & Gyn Wertheim’s Hysterectomy (Oncology only) 246,400",enhanced_text,LOW,False
"408 Ophthalmic A/B Scan 2,240",408 ophthalmic a b scan 2 240,OTHER,,,included,,[],,,{},38,"408 Ophthalmic A/B Scan 2,240","408 Ophthalmic A/B Scan 2,240",enhanced_text,LOW,False
"411 Ophthalmic Anterior Chamber reformation and bandage contact lens 14,560",411 ophthalmic anterior chamber reformation and bandage contact lens 14 560,OTHER,,,included,,[],,,{},38,"411 Ophthalmic Anterior Chamber reformation and bandage contact lens 14,560","411 Ophthalmic Anterior Chamber reformation and bandage contact lens 14,560",enhanced_text,LOW,False
"414 Ophthalmic Anterior Stromal Puncture with Bandage Contact Lens 14,560",414 ophthalmic anterior stromal puncture with bandage contact lens 14 560,OTHER,,,included,,[],,,{},39,"414 Ophthalmic Anterior Stromal Puncture with Bandage Contact Lens 14,560","414 Ophthalmic Anterior Stromal Puncture with Bandage Contact Lens 14,560",enhanced_text,LOW,False
"415 Ophthalmic Anterior Vitrectomy + Lensectomy 112,000",415 ophthalmic anterior vitrectomy lensectomy 112 000,OTHER,,,included,,[],,,{},39,"415 Ophthalmic Anterior Vitrectomy + Lensectomy 112,000","415 Ophthalmic Anterior Vitrectomy + Lensectomy 112,000",enhanced_text,LOW,False
"419 Ophthalmic Bullae Rupture with Bandage Contact Lens 8,960",419 ophthalmic bullae rupture with bandage contact lens 8 960,OTHER,,,included,,[],,,{},39,"419 Ophthalmic Bullae Rupture with Bandage Contact Lens 8,960","419 Ophthalmic Bullae Rupture with Bandage Contact Lens 8,960",enhanced_text,LOW,False
"421 Ophthalmic Cataract extraction SICS 30,000",421 ophthalmic cataract extraction sics 30 000,OTHER,,,included,,[],,,{},39,"421 Ophthalmic Cataract extraction SICS 30,000","421 Ophthalmic Cataract extraction SICS 30,000",enhanced_text,LOW,False
"422 Ophthalmic Cataract extraction with implant -Phaco ALCON 60,000",422 ophthalmic cataract extraction with implant phaco alcon 60 000,OTHER,,,included,,[],,,{},39,"422 Ophthalmic Cataract extraction with implant -Phaco ALCON 60,000","422 Ophthalmic Cataract extraction with implant -Phaco ALCON 60,000",enhanced_text,LOW,False
"423 Ophthalmic Cataract extraction with implant-Phaco IOL 60,000",423 ophthalmic cataract extraction with implant phaco iol 60 000,OTHER,,,included,Level 6,[6],,,{},39,"423 Ophthalmic Cataract extraction with implant-Phaco IOL 60,000","423 Ophthalmic Cataract extraction with implant-Phaco IOL 60,000",enhanced_text,LOW,False
"424 Ophthalmic Conjunctival DCR plus tube 112,000",424 ophthalmic conjunctival dcr plus tube 112 000,OTHER,,,included,,[],,,{},39,"424 Ophthalmic Conjunctival DCR plus tube 112,000","424 Ophthalmic Conjunctival DCR plus tube 112,000",enhanced_text,LOW,False
"425 Ophthalmic Conjunctival Excision + Major Reconstruction 44,800",425 ophthalmic conjunctival excision major reconstruction 44 800,OTHER,,,included,,[],,,{},39,"425 Ophthalmic Conjunctival Excision + Major Reconstruction 44,800","425 Ophthalmic Conjunctival Excision + Major Reconstruction 44,800",enhanced_text,LOW,False
"426 Ophthalmic Conjunctival Incision biopsy (including histopathology) 44,800",426 ophthalmic conjunctival incision biopsy including histopathology 44 800,OTHER,,,included,,[],,,{},39,"426 Ophthalmic Conjunctival Incision biopsy (including histopathology) 44,800","426 Ophthalmic Conjunctival Incision biopsy (including histopathology) 44,800",enhanced_text,LOW,False
"428 Ophthalmic Corneal transplant + Cataract Extraction + Intraocular lens implant 280,000",428 ophthalmic corneal transplant cataract extraction intraocular lens implant 280 000,OTHER,,,included,,[],,,{},39,"428 Ophthalmic Corneal transplant + Cataract Extraction + Intraocular lens implant 280,000","428 Ophthalmic Corneal transplant + Cataract Extraction + Intraocular lens implant 280,000",enhanced_text,LOW,False
"431 Ophthalmic Cyclocryotherapy 16,800",431 ophthalmic cyclocryotherapy 16 800,OTHER,,,included,,[],,,{},39,"431 Ophthalmic Cyclocryotherapy 16,800","431 Ophthalmic Cyclocryotherapy 16,800",enhanced_text,LOW,False
"434 Ophthalmic DCR/Fistulectomy 145,600",434 ophthalmic dcr fistulectomy 145 600,OTHER,,,included,,[],,,{},40,"434 Ophthalmic DCR/Fistulectomy 145,600","434 Ophthalmic DCR/Fistulectomy 145,600",enhanced_text,LOW,False
"435 Ophthalmic Ectropion repair minor and major 39,200",435 ophthalmic ectropion repair minor and major 39 200,OTHER,,,included,,[],,,{},40,"435 Ophthalmic Ectropion repair minor and major 39,200","435 Ophthalmic Ectropion repair minor and major 39,200",enhanced_text,LOW,False
"443 Ophthalmic Intravitreal AntiFungal Injection 11,200",443 ophthalmic intravitreal antifungal injection 11 200,OTHER,,,included,,[],,,{},40,"443 Ophthalmic Intravitreal AntiFungal Injection 11,200","443 Ophthalmic Intravitreal AntiFungal Injection 11,200",enhanced_text,LOW,False
"450 Ophthalmic Lacrimal Probing and Syringing (pediatrics) 33,600",450 ophthalmic lacrimal probing and syringing pediatrics 33 600,OTHER,,,included,,[],,,{},40,"450 Ophthalmic Lacrimal Probing and Syringing (pediatrics) 33,600","450 Ophthalmic Lacrimal Probing and Syringing (pediatrics) 33,600",enhanced_text,LOW,False
"452 Ophthalmic Lash electrolysis 11,200",452 ophthalmic lash electrolysis 11 200,OTHER,,,included,,[],,,{},40,"452 Ophthalmic Lash electrolysis 11,200","452 Ophthalmic Lash electrolysis 11,200",enhanced_text,LOW,False
"453 Ophthalmic Lid splitting +cryotherapy 33,600",453 ophthalmic lid splitting cryotherapy 33 600,OTHER,,,included,,[],,,{},40,"453 Ophthalmic Lid splitting +cryotherapy 33,600","453 Ophthalmic Lid splitting +cryotherapy 33,600",enhanced_text,LOW,False
"454 Ophthalmic Lid tumour Excision + major reconstruction 78,400",454 ophthalmic lid tumour excision major reconstruction 78 400,OTHER,,,included,,[],,,{},41,"454 Ophthalmic Lid tumour Excision + major reconstruction 78,400","454 Ophthalmic Lid tumour Excision + major reconstruction 78,400",enhanced_text,LOW,False
"457 Ophthalmic Macula Hole Surgery 224,000",457 ophthalmic macula hole surgery 224 000,SURGERY,,,included,,[],,,{},41,"457 Ophthalmic Macula Hole Surgery 224,000","457 Ophthalmic Macula Hole Surgery 224,000",enhanced_text,LOW,False
"458 Ophthalmic OCT Angiography 7,840",458 ophthalmic oct angiography 7 840,OTHER,,,included,,[],,,{},41,"458 Ophthalmic OCT Angiography 7,840","458 Ophthalmic OCT Angiography 7,840",enhanced_text,LOW,False
"459 Ophthalmic OCT Anterior 3,360",459 ophthalmic oct anterior 3 360,OTHER,,,included,,[],,,{},41,"459 Ophthalmic OCT Anterior 3,360","459 Ophthalmic OCT Anterior 3,360",enhanced_text,LOW,False
"460 Ophthalmic OCT Posterior 3,360",460 ophthalmic oct posterior 3 360,OTHER,,,included,,[],,,{},41,"460 Ophthalmic OCT Posterior 3,360","460 Ophthalmic OCT Posterior 3,360",enhanced_text,LOW,False
"466 Ophthalmic Posterior Victrectomy - Foreign Body 145,600",466 ophthalmic posterior victrectomy foreign body 145 600,OTHER,,,included,,[],,,{},41,"466 Ophthalmic Posterior Victrectomy - Foreign Body 145,600","466 Ophthalmic Posterior Victrectomy - Foreign Body 145,600",enhanced_text,LOW,False
"467 Ophthalmic Posterior Victrectomy - Sunk Nucleus 145,600",467 ophthalmic posterior victrectomy sunk nucleus 145 600,OTHER,,,included,,[],,,{},41,"467 Ophthalmic Posterior Victrectomy - Sunk Nucleus 145,600","467 Ophthalmic Posterior Victrectomy - Sunk Nucleus 145,600",enhanced_text,LOW,False
"468 Ophthalmic Posterior Vitrectomy 168,000",468 ophthalmic posterior vitrectomy 168 000,OTHER,,,included,,[],,,{},41,"468 Ophthalmic Posterior Vitrectomy 168,000","468 Ophthalmic Posterior Vitrectomy 168,000",enhanced_text,LOW,False
"469 Ophthalmic Posterior Vitrectomy + band/buckle 224,000",469 ophthalmic posterior vitrectomy band buckle 224 000,OTHER,,,included,,[],,,{},41,"469 Ophthalmic Posterior Vitrectomy + band/buckle 224,000","469 Ophthalmic Posterior Vitrectomy + band/buckle 224,000",enhanced_text,LOW,False
"470 Ophthalmic Posterior Vitrectomy + band/buckle + Cataract surgery 257,600",470 ophthalmic posterior vitrectomy band buckle cataract surgery 257 600,SURGERY,,,included,,[],,,{},41,"470 Ophthalmic Posterior Vitrectomy + band/buckle + Cataract surgery 257,600","470 Ophthalmic Posterior Vitrectomy + band/buckle + Cataract surgery 257,600",enhanced_text,LOW,False
"471 Ophthalmic Posterior Vitrectomy + Cataract surgery 201,600",471 ophthalmic posterior vitrectomy cataract surgery 201 600,SURGERY,,,included,,[],,,{},41,"471 Ophthalmic Posterior Vitrectomy + Cataract surgery 201,600","471 Ophthalmic Posterior Vitrectomy + Cataract surgery 201,600",enhanced_text,LOW,False
"472 Ophthalmic Posterior Vitrectomy + Delamination + Oil 224,000",472 ophthalmic posterior vitrectomy delamination oil 224 000,OTHER,,,included,Level 2-2,[2],,,{},41,"472 Ophthalmic Posterior Vitrectomy + Delamination + Oil 224,000","472 Ophthalmic Posterior Vitrectomy + Delamination + Oil 224,000",enhanced_text,LOW,False
"474 Ophthalmic Pterygium excision with conjunctival autograft 33,600",474 ophthalmic pterygium excision with conjunctival autograft 33 600,OTHER,,,included,,[],,,{},41,"474 Ophthalmic Pterygium excision with conjunctival autograft 33,600","474 Ophthalmic Pterygium excision with conjunctival autograft 33,600",enhanced_text,LOW,False
"476 Ophthalmic Ptosis Surgery: Anterior levator repair/resection, frontalis sling susp 78,400",476 ophthalmic ptosis surgery anterior levator repair resection frontalis sling susp 78 400,SURGERY,,,included,,[],,,{},42,"476 Ophthalmic Ptosis Surgery: Anterior levator repair/resection, frontalis sling susp 78,400","476 Ophthalmic Ptosis Surgery: Anterior levator repair/resection, frontalis sling susp 78,400",enhanced_text,LOW,False
"477 Ophthalmic Punctoplasty/canaliculoplasty 22,400",477 ophthalmic punctoplasty canaliculoplasty 22 400,OTHER,,,included,,[],,,{},42,"477 Ophthalmic Punctoplasty/canaliculoplasty 22,400","477 Ophthalmic Punctoplasty/canaliculoplasty 22,400",enhanced_text,LOW,False
"480 Ophthalmic Scleral buckle + Cyrotherapy or Laser 100,800",480 ophthalmic scleral buckle cyrotherapy or laser 100 800,OTHER,,,included,,[],,,{},42,"480 Ophthalmic Scleral buckle + Cyrotherapy or Laser 100,800","480 Ophthalmic Scleral buckle + Cyrotherapy or Laser 100,800",enhanced_text,LOW,False
"482 Ophthalmic Socket reconstruction minor 61,600",482 ophthalmic socket reconstruction minor 61 600,OTHER,,,included,,[],,,{},42,"482 Ophthalmic Socket reconstruction minor 61,600","482 Ophthalmic Socket reconstruction minor 61,600",enhanced_text,LOW,False
"485 Ophthalmic Surgical Peripheral Iridectomy 16,800",485 ophthalmic surgical peripheral iridectomy 16 800,SURGERY,,,included,,[],,,{},42,"485 Ophthalmic Surgical Peripheral Iridectomy 16,800","485 Ophthalmic Surgical Peripheral Iridectomy 16,800",enhanced_text,LOW,False
"487 Ophthalmic Trabeculectomy + Phacoemulsification cataract surgery 78,400",487 ophthalmic trabeculectomy phacoemulsification cataract surgery 78 400,SURGERY,,,included,,[],,,{},42,"487 Ophthalmic Trabeculectomy + Phacoemulsification cataract surgery 78,400","487 Ophthalmic Trabeculectomy + Phacoemulsification cataract surgery 78,400",enhanced_text,LOW,False
"488 Ophthalmic Trabeculectomy + Small Incision Cataract surgery 44,800",488 ophthalmic trabeculectomy small incision cataract surgery 44 800,SURGERY,,,included,,[],,,{},42,"488 Ophthalmic Trabeculectomy + Small Incision Cataract surgery 44,800","488 Ophthalmic Trabeculectomy + Small Incision Cataract surgery 44,800",enhanced_text,LOW,False
"489 Ophthalmic Trabeculectomy with Mitomycin C 33,600",489 ophthalmic trabeculectomy with mitomycin c 33 600,OTHER,,,included,,[],,,{},42,"489 Ophthalmic Trabeculectomy with Mitomycin C 33,600","489 Ophthalmic Trabeculectomy with Mitomycin C 33,600",enhanced_text,LOW,False
"496 Orthopaedic Angle plating fracture neck of femur 168,000",496 orthopaedic angle plating fracture neck of femur 168 000,OTHER,,,included,,[],,,{},43,"496 Orthopaedic Angle plating fracture neck of femur 168,000","496 Orthopaedic Angle plating fracture neck of femur 168,000",enhanced_text,LOW,False
"500 Orthopaedic Arthroscopic Synovectomy 168,000",500 orthopaedic arthroscopic synovectomy 168 000,OTHER,,,included,,[],,,{},43,"500 Orthopaedic Arthroscopic Synovectomy 168,000","500 Orthopaedic Arthroscopic Synovectomy 168,000",enhanced_text,LOW,False
"506 Orthopaedic Cervical rib resection 112,000",506 orthopaedic cervical rib resection 112 000,OTHER,,,included,,[],,,{},43,"506 Orthopaedic Cervical rib resection 112,000","506 Orthopaedic Cervical rib resection 112,000",enhanced_text,LOW,False
"508 Orthopaedic Closed manipulation of dislocations/fractures under GA 16,800",508 orthopaedic closed manipulation of dislocations fractures under ga 16 800,OTHER,,,included,,[],,,{},43,"508 Orthopaedic Closed manipulation of dislocations/fractures under GA 16,800","508 Orthopaedic Closed manipulation of dislocations/fractures under GA 16,800",enhanced_text,LOW,False
"509 Orthopaedic Contracture release without flaps 44,800",509 orthopaedic contracture release without flaps 44 800,OTHER,,,included,,[],,,{},43,"509 Orthopaedic Contracture release without flaps 44,800","509 Orthopaedic Contracture release without flaps 44,800",enhanced_text,LOW,False
"515 Orthopaedic Exploration of Osteomyelitis / sequestrectomy 67,200",515 orthopaedic exploration of osteomyelitis sequestrectomy 67 200,OTHER,,,included,,[],,,{},43,"515 Orthopaedic Exploration of Osteomyelitis / sequestrectomy 67,200","515 Orthopaedic Exploration of Osteomyelitis / sequestrectomy 67,200",enhanced_text,LOW,False
"518 Orthopaedic Fasciectomy 44,800",518 orthopaedic fasciectomy 44 800,OTHER,,,included,,[],,,{},44,"518 Orthopaedic Fasciectomy 44,800","518 Orthopaedic Fasciectomy 44,800",enhanced_text,LOW,False
"519 Orthopaedic Femoral epiphysis reduction / fixation (SUFE)with implants 168,000",519 orthopaedic femoral epiphysis reduction fixation sufe with implants 168 000,OTHER,,,included,,[],,,{},44,"519 Orthopaedic Femoral epiphysis reduction / fixation (SUFE)with implants 168,000","519 Orthopaedic Femoral epiphysis reduction / fixation (SUFE)with implants 168,000",enhanced_text,LOW,False
"521 Orthopaedic Ilizarov procedure 168,000",521 orthopaedic ilizarov procedure 168 000,SURGERY,,,included,,[],,,{},44,"521 Orthopaedic Ilizarov procedure 168,000","521 Orthopaedic Ilizarov procedure 168,000",enhanced_text,LOW,False
"523 Orthopaedic Intra articular Surgery (large joints) 145,600",523 orthopaedic intra articular surgery large joints 145 600,SURGERY,,,included,,[],,,{},44,"523 Orthopaedic Intra articular Surgery (large joints) 145,600","523 Orthopaedic Intra articular Surgery (large joints) 145,600",enhanced_text,LOW,False
"524 Orthopaedic Intra articular Surgery (medium joints) 145,600",524 orthopaedic intra articular surgery medium joints 145 600,SURGERY,,,included,,[],,,{},44,"524 Orthopaedic Intra articular Surgery (medium joints) 145,600","524 Orthopaedic Intra articular Surgery (medium joints) 145,600",enhanced_text,LOW,False
"525 Orthopaedic Intra articular Surgery (small joints) 145,600",525 orthopaedic intra articular surgery small joints 145 600,SURGERY,,,included,,[],,,{},44,"525 Orthopaedic Intra articular Surgery (small joints) 145,600","525 Orthopaedic Intra articular Surgery (small joints) 145,600",enhanced_text,LOW,False
"528 Orthopaedic Menisectomy 67,200",528 orthopaedic menisectomy 67 200,OTHER,,,included,,[],,,{},44,"528 Orthopaedic Menisectomy 67,200","528 Orthopaedic Menisectomy 67,200",enhanced_text,LOW,False
"529 Orthopaedic Mild club foot correction 56,000",529 orthopaedic mild club foot correction 56 000,OTHER,,,included,,[],,,{},44,"529 Orthopaedic Mild club foot correction 56,000","529 Orthopaedic Mild club foot correction 56,000",enhanced_text,LOW,False
"530 Orthopaedic Moderate / severe club foot correction 56,000",530 orthopaedic moderate severe club foot correction 56 000,OTHER,,,included,,[],,,{},44,"530 Orthopaedic Moderate / severe club foot correction 56,000","530 Orthopaedic Moderate / severe club foot correction 56,000",enhanced_text,LOW,False
"532 Orthopaedic Open reduction and internal fixation: Clavicle 145,600",532 orthopaedic open reduction and internal fixation clavicle 145 600,OTHER,,,included,,[],,,{},44,"532 Orthopaedic Open reduction and internal fixation: Clavicle 145,600","532 Orthopaedic Open reduction and internal fixation: Clavicle 145,600",enhanced_text,LOW,False
"533 Orthopaedic Open reduction and internal fixation: Femur 145,600",533 orthopaedic open reduction and internal fixation femur 145 600,OTHER,,,included,,[],,,{},44,"533 Orthopaedic Open reduction and internal fixation: Femur 145,600","533 Orthopaedic Open reduction and internal fixation: Femur 145,600",enhanced_text,LOW,False
"534 Orthopaedic Open reduction and internal fixation: Humerus 145,600",534 orthopaedic open reduction and internal fixation humerus 145 600,OTHER,,,included,,[],,,{},44,"534 Orthopaedic Open reduction and internal fixation: Humerus 145,600","534 Orthopaedic Open reduction and internal fixation: Humerus 145,600",enhanced_text,LOW,False
"535 Orthopaedic Open reduction and internal fixation: Pelvis 224,000",535 orthopaedic open reduction and internal fixation pelvis 224 000,OTHER,,,included,,[],,,{},44,"535 Orthopaedic Open reduction and internal fixation: Pelvis 224,000","535 Orthopaedic Open reduction and internal fixation: Pelvis 224,000",enhanced_text,LOW,False
"536 Orthopaedic Open reduction and internal fixation: Radius / Ulna 145,600",536 orthopaedic open reduction and internal fixation radius ulna 145 600,OTHER,,,included,,[],,,{},44,"536 Orthopaedic Open reduction and internal fixation: Radius / Ulna 145,600","536 Orthopaedic Open reduction and internal fixation: Radius / Ulna 145,600",enhanced_text,LOW,False
"537 Orthopaedic Open Synovectomy 56,000",537 orthopaedic open synovectomy 56 000,OTHER,,,included,,[],,,{},44,"537 Orthopaedic Open Synovectomy 56,000","537 Orthopaedic Open Synovectomy 56,000",enhanced_text,LOW,False
Orthopaedic,orthopaedic,SURGERY,,,included,,[],,,{},44,"521 Orthopaedic Ilizarov procedure 168,000","521 Orthopaedic Ilizarov procedure 168,000",enhanced_table_0_row_4,MEDIUM,
"540 Orthopaedic Puttiplatt procedure for shoulder dislocation / Weber Osteotomy 89,600",540 orthopaedic puttiplatt procedure for shoulder dislocation weber osteotomy 89 600,SURGERY,,,included,,[],,,{},45,"540 Orthopaedic Puttiplatt procedure for shoulder dislocation / Weber Osteotomy 89,600","540 Orthopaedic Puttiplatt procedure for shoulder dislocation / Weber Osteotomy 89,600",enhanced_text,LOW,False
"546 Orthopaedic Scoliosis correction 291,200",546 orthopaedic scoliosis correction 291 200,OTHER,,,included,,[],,,{},45,"546 Orthopaedic Scoliosis correction 291,200","546 Orthopaedic Scoliosis correction 291,200",enhanced_text,LOW,False
"549 Orthopaedic Syndactyly / polydactyly correction 44,800",549 orthopaedic syndactyly polydactyly correction 44 800,OTHER,,,included,,[],,,{},45,"549 Orthopaedic Syndactyly / polydactyly correction 44,800","549 Orthopaedic Syndactyly / polydactyly correction 44,800",enhanced_text,LOW,False
"550 Orthopaedic Synovectomy: Small joints 33,600",550 orthopaedic synovectomy small joints 33 600,OTHER,,,included,,[],,,{},45,"550 Orthopaedic Synovectomy: Small joints 33,600","550 Orthopaedic Synovectomy: Small joints 33,600",enhanced_text,LOW,False
"557 Orthopaedic Wedge tarsectomy 145,600",557 orthopaedic wedge tarsectomy 145 600,OTHER,,,included,,[],,,{},45,"557 Orthopaedic Wedge tarsectomy 145,600","557 Orthopaedic Wedge tarsectomy 145,600",enhanced_text,LOW,False
